autistic,prolific_pid,expression,unique_property,occlusion,set_a_dist_feature,set_a,set_b
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,two green no sides,circle,no,type,"two, small, green, circle","one, big, blue, pentagon"
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,black circles twice,black,no,non_type,"two, small, black, circle","one, big, green, triangle"
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,two blue 3 edges,triangle,yes,type,"two, big, blue, triangle","one, small, black, circle"
Yes (clinically diagnosed),5c993969c6d15000019bbc4f,two blue 4 edges,blue,yes,non_type,"two, small, blue, square","one, big, green, triangle"
Yes (clinically diagnosed),5d4ad842f049ea001731be4d,2 pentagons,pentagon,no,type,"two, big, pink, pentagon","one, small, blue, triangle"
Yes (clinically diagnosed),5d4ad842f049ea001731be4d,2 large pentagons,big,no,non_type,"two, big, black, pentagon","one, small, pink, square"
Yes (clinically diagnosed),5d4ad842f049ea001731be4d,2 squares,square,yes,type,"two, small, green, square","one, big, pink, star"
Yes (clinically diagnosed),5d4ad842f049ea001731be4d,2 large pink circles,big,yes,non_type,"two, big, pink, circle","one, small, black, star"
Yes (clinically diagnosed),5d4ad842f049ea001731be4d,pink triangles,triangle,no,type,"two, small, pink, triangle","one, big, black, square"
Yes (clinically diagnosed),5d4ad842f049ea001731be4d,green triangles,"small, green",no,non_type,"two, small, green, triangle","one, big, pink, star"
Yes (clinically diagnosed),5d4ad842f049ea001731be4d,2 circles,circle,yes,type,"two, big, pink, circle","one, small, blue, triangle"
Yes (clinically diagnosed),5d4ad842f049ea001731be4d,2 blue stars,"big, blue",yes,non_type,"two, big, blue, star","one, small, black, pentagon"
Yes (clinically diagnosed),5d4ad842f049ea001731be4d,2 squares,square,no,type,"two, big, blue, square","one, small, black, star"
Yes (clinically diagnosed),5d4ad842f049ea001731be4d,large squares,"big, green",no,non_type,"two, big, green, square","one, small, black, star"
Yes (clinically diagnosed),5d4ad842f049ea001731be4d,squares,square,yes,type,"two, small, black, square","one, big, green, pentagon"
